file,attribute_label,single_instruction,single_answer,multi_instruction,multi_answer
de_test_0_common_voice_de_29193823.wav,German,請聆聽該段演說，並選出講者所使用的語言。 (a) 中文 (b) 韓文 (c) 西班牙文 (d) 德文,(d) 德文,在所提供的 ISO 語言代碼中，哪一個最符合音檔中所使用的語言？ (a) zh (b) ko (c) es (d) de,(d) de
de_test_0_common_voice_de_19651907.wav,German,根據所提供的音訊，請問所使用的語言是？(a) 法語 (b) 義大利語 (c) 德語 (d) 西班牙語,(c) 德語,在所列出的國家中，哪一個國家的官方語言是此音訊所用的語言？(a) 法國 (b) 義大利 (c) 德國 (d) 墨西哥,(c) 德國
de_test_0_common_voice_de_17868906.wav,German,"判斷所提供語音的語言為何。
(a) 英語 (b) 西班牙語 (c) 義大利語 (d) 德語",(d) 德語,"在所提供的城市中，哪一個最有可能位於以該語音語言為官方語言的國家？
(a) 倫敦 (b) 奇瓦瓦市 (c) 佛羅倫斯 (d) 柏林",(d) 柏林
de_test_0_common_voice_de_39805524.wav,German,請聆聽提供的音頻。下列哪一種語言最符合錄音中所說的語言？(a) 西班牙語 (b) 法語 (c) 韓語 (d) 德語,(d) 德語,在所提供的人物中，誰最有可能來自一個官方承認該音頻語言的國家？(a) Eva Perón (b) Léopold Sédar Senghor (c) Kim Gu (d) Hermann Hesse,(d) Hermann Hesse
de_test_0_common_voice_de_19777557.wav,German,請仔細聆聽所提供的語音片段，並評估說話者所使用的語言。請選擇最能代表語音中所用語言的答案。(a) 韓語 (b) 中文 (c) 德語 (d) 日語,(c) 德語,若要證明你對該語音語言的能力，應該參加哪一項測驗？(a) TOPIK (b) TOCFL (c) Goethe-Zertifikat (d) BJT,(c) Goethe-Zertifikat
de_test_0_common_voice_de_20231703.wav,German,音訊中包含了一段以特定語言講述的短演講。請分析這段音訊，判斷說話者使用的是下列哪一種語言？ (a) 德語 (b) 韓語 (c) 英語 (d) 法語,(a) 德語,在所列選項中，哪一個語系包含了音訊所用的語言？ (a) 印歐語系 (b) 韓語語系 (c) 日語語系 (d) 漢藏語系,(a) 印歐語系
de_test_0_common_voice_de_38148421.wav,German,請仔細聆聽音頻，專注於講話內容。根據你的分析，從以下選項中選擇講者所使用的語言：(a) 韓語 (b) 德語 (c) 法語 (d) 日語,(b) 德語,在以下選項中，哪一本書的原始作本是用你在此音頻中聽到的語言創作的？(a)《素食者》 (b)《少年維特的煩惱》 (c)《紅與黑》 (d)《雪國》,(b)《少年維特的煩惱》
de_test_0_common_voice_de_17499321.wav,German,請聆聽所提供的音訊片段，並從下列選項中選擇講者所使用的語言。您的任務是選出您認為與語音相符的語言。（a）德語 （b）西班牙語 （c）韓語 （d）英語,（a）德語,在以下列出的料理中，哪一道是與音訊所屬語言的國家有關的？（a）椒鹽卷餅（Pretzel） （b）西班牙海鮮飯（Paella） （c）泡菜（Kimchi） （d）康沃爾餡餅（Cornish Pasty）,（a）椒鹽卷餅（Pretzel）
de_test_0_common_voice_de_18595341.wav,German,請聆聽所提供的音訊片段，並辨識該名人士所說的語言。請從下列選項中選出你認為最符合該語音的語言。下列哪一種語言是該音訊片段中的說話者所使用的？(a) 德語 (b) 日語 (c) 韓語 (d) 義大利語,(a) 德語,以下哪一個詞正確地翻譯了“prosperity（繁榮）”為該音訊所使用的語言？(a) Prosperität (b) prosperidad (c) Armut (d) pobreza,(a) Prosperität
de_test_0_common_voice_de_34297867.wav,German,請聆聽這段語音，並選出講者所使用的語言。 (a) 西班牙語 (b) 德語 (c) 法語 (d) 義大利語,(b) 德語,從下列提供的 ISO 語言代碼中，哪一個正確代表本音檔所使用的語言？ (a) es (b) de (c) fr (d) it,(b) de
