file,attribute_label,single_instruction,single_answer,multi_instruction,multi_answer
dog28.wav,dog,在以下選項中，您認為錄音中聲音的來源是哪一種動物？(a) 狗 (b) 烏鴉 (c) 牛 (d) 公雞,(a) 狗,在所提供的音頻片段中，該動物具有什麼樣的身體特徵？(a) 羽毛 (b) 鱗片 (c) 爪子 (d) 角,(c) 爪子
dog36.wav,dog,"請根據此音訊片段中的聲音，判斷最有可能發出這個聲音的動物，並從以下選項中選出最有可能的答案。
(a) 豬 (b) 狗 (c) 母雞 (d) 綿羊",(b) 狗,根據提供的聲音，以下哪一種是該動物最有可能的移動方式？(a) 走路 (b) 游泳 (c) 飛行 (d) 蠕動,(a) 走路
dog7.wav,dog,根據選項，你認為你聽到的聲音與哪一種動物有關？(a) 青蛙 (b) 貓 (c) 烏鴉 (d) 狗,(d) 狗,從提供的選項中，哪一項最能反映與該動物（在聲音中聽到的動物）最常見的繁殖策略？(a) 有袋生殖 (b) 胎生 (c) 無性生殖 (d) 卵生,(b) 胎生
dog27.wav,dog,根據音檔，你能辨認出聲音來自以下哪種動物？(a) 豬 (b) 烏鴉 (c) 狗 (d) 母雞,(c) 狗,在提供的選項中，哪一項最適合滿足錄音中動物的照護需求？(a) 捕蟲器 (b) 水族箱過濾器 (c) 鳥籠 (d) 牽繩,(d) 牽繩
dog10.wav,dog,你能從提供的選項中選出與聲音相符的動物嗎？(a) 豬 (b) 狗 (c) 公雞 (d) 牛,(b) 狗,從以下選項中，哪一個聲音最符合所提供動物的叫聲？(a) 哞哞叫 (b) 咯咯叫 (c) 吠叫 (d) 呱呱叫,(c) 吠叫
dog67.wav,dog,在提供的選項中，你認為哪一種動物是錄音檔案中聲音的來源？(a) 狗 (b) 母雞 (c) 公雞 (d) 青蛙,(a) 狗,根據生物分類系統，下列哪一種動物與錄音檔案中的動物親緣關係最近？(a) 北極狐 (b) 金豺 (c) 黑背豺 (d) 赤狐,(b) 金豺
dog57.wav,dog,從以下動物列表中，根據您在提供的音訊檔案中聽到的聲音特徵與音調，您認為哪一種動物最有可能是該聲音的來源？(a) 母雞 (b) 綿羊 (c) 青蛙 (d) 狗,(d) 狗,在以下行為中，哪一項最能代表該音訊中這種動物平時的典型表現？(a) 拍動翅膀 (b) 躲進殼裡 (c) 在樹枝間跳躍 (d) 搖尾巴,(d) 搖尾巴
dog41.wav,dog,根據所提供的選項，以及你所聆聽的音檔，綜合你可以辨識出的所有聲音特徵與特質，你認為這個聲音最有可能來自哪一種動物？(a) 母雞 (b) 綿羊 (c) 狗 (d) 貓,(c) 狗,根據所提供的選項，哪一種食性最符合錄音中的動物？(a) 雜食性動物 (b) 草食性動物 (c) 食蟲性動物 (d) 肉食性動物,(a) 雜食性動物
dog47.wav,dog,在以下列出的動物中，根據提供的音訊錄音的聲音特徵，你能辨認出哪一種動物最接近其聲音嗎？（a）hen（母雞） （b）frog（青蛙） （c）dog（狗） （d）rooster（公雞）,（c）dog（狗）,考慮音訊中動物的特徵，下列哪一種繁殖方式最符合它的繁殖方式？（a）卵生 （b）有袋類繁殖 （c）無性生殖 （d）胎生,（d）胎生
dog35.wav,dog,根據你所聆聽的音檔以及提供的選項，你認為這個聲音最有可能是屬於哪一種動物？(a) 牛 (b) 青蛙 (c) 貓 (d) 狗,(d) 狗,根據錄音中這隻動物的聲音，哪一種叫聲與其最為相似？(a) 吠叫 (b) 啁啾 (c) 吼叫 (d) 呱呱叫,(a) 吠叫
dog3.wav,dog,從下列選項中，您認為錄音中發出聲音的動物是哪一種？（a）羊（b）狗（c）公雞（d）牛,（b）狗,根據所提供的列表，哪一種移動方式最適合音檔中聽到的動物？（a）游泳（b）走路（c）飛行（d）爬行,（b）走路
dog59.wav,dog,請根據此音訊片段，判斷最有可能發出這個聲音的動物，並從以下選項中選出最有可能的答案。 (a) dog (b) frog (c) hen (d) cow,(a) dog,下列哪一種飲食類型最符合該動物在自然棲息地主要攝取的食物類型？(a) 草食性 (b) 食蟲性 (c) 雜食性 (d) 肉食性,(c) 雜食性
dog17.wav,dog,根據選項，你認為你聽到的聲音是和哪一種動物相關？(a) 青蛙 (b) 貓 (c) 狗 (d) 豬,(c) 狗,下列哪一個行為最能描述錄音中這種動物的典型動作？(a) 在樹枝間跳躍 (b) 搖尾巴 (c) 躲在殼裡 (d) 拍動翅膀,(b) 搖尾巴
