file,attribute_label,single_instruction,single_answer,multi_instruction,multi_answer
en_test_0_common_voice_en_22335218.wav,female,請判斷說話者的性別是什麼？ (a) 女性 (b) 男性,(a) 女性,下列哪一個稱謂最適合用來稱呼與這位說話者性別相同的人？ (a) Ms. (b) Mr.,(a) Ms.
en_test_0_common_voice_en_37976442.wav,female,這段音訊中講話者的性別是什麼？（a）女性 （b）男性,（a）女性,考慮到講話者的性別，以下哪個稱謂最符合通常對與音訊中講話者同性別的人所使用的稱呼？（a）先生 （b）女士,（b）女士
en_test_0_common_voice_en_31266588.wav,female,請將講者的聲音歸類為以下哪一種性別類別？ (a) 女性 (b) 男性,(a) 女性,對於與講者同一性別的人，哪一個標籤最合適？ (a) 母親 (b) 父親,(a) 母親
en_test_0_common_voice_en_36016278.wav,female,請判斷說話者的性別。 (a) 女性 (b) 男性,(a) 女性,對於與說話者同性別的人，哪一個稱謂最為正確？(a) 叔叔 (b) 阿姨,(b) 阿姨
en_test_0_common_voice_en_19954794.wav,female,從提供的音訊錄音中，辨識說話者的性別。(a) 女性 (b) 男性,(a) 女性,對於與說話者同性別的人，哪一個稱呼最合適？(a) 阿姨 (b) 叔叔,(a) 阿姨
en_test_0_common_voice_en_18395139.wav,female,請仔細聆聽所提供的音檔並判斷說話者的性別。請根據您的判斷選擇最能代表說話者性別的選項。 (a) 女性 (b) 男性,(a) 女性,對於與說話者性別相同的人，以下哪一個稱謂最為正確？(a) 兄弟 (b) 姊妹,(b) 姊妹
en_test_0_common_voice_en_39645706.wav,female,請判斷此音訊錄音中的講者性別。請注意有助於將講者分類為下列兩種選項之一的聲音特徵。請從以下選項中選擇你的答案：(a) 女性 (b) 男性,(a) 女性,請根據講者性別回答下列問題：下列哪一個稱謂或稱呼最適合同一性別的個體？(a) 母親 (b) 父親,(a) 母親
en_test_0_common_voice_en_19489627.wav,female,以下任務要求你判斷所提供音訊片段中說話者的性別。請分析說話者的聲音特徵，並選擇你認為正確的選項。（a）女性 （b）男性,（a）女性,根據說話者的性別，下列哪一個稱謂最符合音訊中同性別者通常會被稱呼的方式？（a）先生 （b）女士,（b）女士
en_test_0_common_voice_en_19704669.wav,female,你的任務是判斷所提供音訊片段中說話者的性別。請識別說話者的性別，並選擇你認為最正確的選項。（a）女性（b）男性,（a）女性,考慮到說話者的性別，下列哪一個稱謂最符合音訊中與說話者同性別的人通常會被稱呼的方式？（a）女士（b）先生,（a）女士
en_test_0_common_voice_en_18854899.wav,female,在此任務中，你將聆聽一段簡短的音訊片段，並判斷說話者的性別。請選擇最符合你看法的選項。（a）女性 （b）男性,（a）女性,對於與說話者同性別的人而言，下列哪個稱謂最為正確？（a）先生 （b）女士,（b）女士
