file,attribute_label,single_instruction,single_answer,multi_instruction,multi_answer
1078_IEO_ANG_HI.wav,angry,說話者在音頻中的情緒語調是什麼？ (a) 厭惡 (b) 害怕 (c) 悲傷 (d) 生氣,(d) 生氣,以下哪一句最能匹配其他人在音頻中表達的相同情緒狀態？(a) 這太可怕了，我無法停止去想這件事。(b) 我不敢相信這是真的，我太憤怒了！(c) 這東西看起來非常噁心又骯髒，我無法忍受！(d) 我忍不住一直微笑，一切都感覺很美好。,(b) 我不敢相信這是真的，我太憤怒了！
1004_IEO_ANG_HI.wav,angry,說話者在音頻中表達的是哪一種情緒？(a) 厭惡 (b) 生氣 (c) 恐懼 (d) 悲傷,(b) 生氣,根據說話者在音頻中表達的情緒，下列哪一種社交互動會是最合適的回應？(a) 建議一個活動來保持正面能量的流動。(b) 安慰對方並提供方法讓他們渡過這個尷尬的情況。(c) 給予情感支持，並避免忽略他們的悲傷。(d) 冷靜地承認他們的挫折，並提出解決方案。,(d) 冷靜地承認他們的挫折，並提出解決方案。
1023_ITS_ANG_XX.wav,angry,說話者在音檔中的情緒語調是什麼？(a) 快樂 (b) 悲傷 (c) 恐懼 (d) 憤怒,(d) 憤怒,下列哪一句最貼切反映出跟說話者有相同情緒的人可能會如何表達自己？(a) 我太興奮了，完全無法掩飾我的快樂！(b) 很難想像事情會變得更好。(c) 我覺得自己有危險，卻不知道該怎麼辦。(d) 別再找藉口了，這完全是你的錯！,(d) 別再找藉口了，這完全是你的錯！
1077_WSI_ANG_XX.wav,angry,根據提供的音訊片段，你能判斷錄音中說話者所表達的情緒狀態嗎？(a) 開心 (b) 難過 (c) 害怕 (d) 生氣,(d) 生氣,根據你在音訊中辨識出的情緒，下列哪種社交互動最適合作為回應？(a) 用愉快的回覆一起慶祝對方的快樂。(b) 安慰對方並提醒他們很安全。(c) 冷靜地表達理解，並建議離開令人不愉快的環境。(d) 專心聆聽，不要打斷，讓他們發洩。,(d) 專心聆聽，不要打斷，讓他們發洩。
1006_TAI_ANG_XX.wav,angry,請根據提供的音訊片段作為輸入，您會如何解讀或分類說話者潛在的情緒？(a) 厭惡 (b) 恐懼 (c) 生氣 (d) 開心,(c) 生氣,根據說話者在音訊中所傳達的情緒，下列哪一種社交互動會是最合適的回應？(a) 為對方的不適表達歉意，並換個話題以避免讓他們更不舒服。(b) 冷靜地承認他們的挫折感，並提出解決方案。(c) 給予安慰的擁抱或安撫的話語。(d) 鼓勵他們深呼吸以放鬆心情。,(b) 冷靜地承認他們的挫折感，並提出解決方案。
1066_IWL_ANG_XX.wav,angry,根據所提供的音訊片段，你能判斷錄音中說話者所表達的情緒狀態嗎？(a) 害怕 (b) 傷心 (c) 快樂 (d) 生氣,(d) 生氣,根據說話者在錄音中表達的情緒，以下哪一種社交互動是最適合的回應？(a) 建議一起出去玩讓他們開心一點。(b) 為他們的不適感道歉，並轉換話題以避免讓他們更不舒服。(c) 鼓勵他們深呼吸放鬆。(d) 冷靜地肯定他們的挫折感，並提出解決方案。,(d) 冷靜地肯定他們的挫折感，並提出解決方案。
1031_MTI_ANG_XX.wav,angry,根據所提供的音訊檔案中說話者的聲音線索，下列哪一種情緒語調或感覺最能被傳達出來？(a) 恐懼 (b) 悲傷 (c) 憤怒 (d) 快樂,(c) 憤怒,在下列列舉的臉部表情中，哪一項最能準確呈現音訊中所聽到的情緒？(a) 銳利、穿透的凝視與緊閉的嘴唇 (b) 瞇起的眼睛與微皺的鼻子 (c) 沉重的嘆息搭配皺眉和駝背的姿勢 (d) 放鬆的面部肌肉與開朗的微笑,(a) 銳利、穿透的凝視與緊閉的嘴唇
1013_IWL_ANG_XX.wav,angry,根據該音檔中說話者的聲音線索，請問所傳達出的情緒語氣或感覺為何？(a) 快樂 (b) 噁心 (c) 憤怒 (d) 恐懼,(c) 憤怒,以下哪一句最能與音檔中表達的相同情緒的人所說的話相符？(a) 這種情況真的快把我惹毛了！(b) 我高興得快要爆炸了！(c) 我覺得好空虛，什麼都不重要了。(d) 我覺得自己很危險，不知道該怎麼辦。,(a) 這種情況真的快把我惹毛了！
1017_IOM_ANG_XX.wav,angry,根據可用的音訊錄音，你能分析並辨識說話者所表達的情緒嗎？(a) 害怕 (b) 快樂 (c) 生氣 (d) 厭惡,(c) 生氣,考慮這段談話中所傳達的情緒，下列哪一種情境最符合說話者的情緒狀態？(a) 在對話中聽到好笑的笑話而大笑。 (b) 在空蕩的房子裡突然聽到巨大聲響而反應。 (c) 因為挫折而丟東西。 (d) 閱讀一封感人的告別信。,(c) 因為挫折而丟東西。
1056_TSI_ANG_XX.wav,angry,你能從這段音頻中辨識說話者的情緒嗎？(a)快樂 (b)憤怒 (c)厭惡 (d)恐懼,(b)憤怒,在以下臉部表情中，你認為哪一項最能準確表現音檔中所聽到的情緒？(a)皺眉頭，重重嘆氣且身體下垂 (b)臉部肌肉放鬆並開朗地微笑 (c)挑起眉毛且皺眉 (d)頭微微往後，眼神驚恐，就像在尋找逃脫的出口。,(c)挑起眉毛且皺眉
